Student_ID	Name	Email	Email_Valid	Phone	Course	Fee_Paid	City	Enrolled_Date
STU1003	Ravi Kumar	INVALID_EMAIL	FALSE	9123456789	Python	TRUE	Madurai	19-02-2025
STU1005	Karthik	INVALID_EMAIL	FALSE		Python	TRUE	UNKNOWN	02-08-2025
STU1007	Suresh T	INVALID_EMAIL	FALSE	7654321098	Python	FALSE	Trichy	14-01-2025
STU1009	Rajesh Kk	INVALID_EMAIL	FALSE	MISSING	Python	TRUE	Coimbatore	15-05-2025
STU1010	Nithya R	INVALID_EMAIL	FALSE	9765432109	Data Science	FALSE	Madurai	25-04-2025
STU1012	Meena D	INVALID_EMAIL	FALSE		Machine Learning	TRUE	Salem	21-02-2025
STU1016	Pooja N	INVALID_EMAIL	FALSE	MISSING	Python	FALSE	UNKNOWN	16-02-2025
STU1017	Dinesh R	INVALID_EMAIL	FALSE	8080808080	Data Science	TRUE	Madurai	23-02-2025
STU1019	Bala K	INVALID_EMAIL	FALSE	MISSING	Machine Learning	FALSE	Salem	06-12-2025
STU1022	Geetha	INVALID_EMAIL	FALSE	9393939393	Data Science	FALSE	Coimbatore	05-08-2025
STU1025	Senthil K	INVALID_EMAIL	FALSE		PYTHON	FALSE	Trichy	15-05-2025
STU1029	Gopal V	INVALID_EMAIL	FALSE	9010101010	Python	TRUE	Coimbatore	01-12-2025
STU1035	Karthi P	INVALID_EMAIL	FALSE	MISSING	Python	TRUE	Coimbatore	14-02-2025
STU1037	Venkatt R	INVALID_EMAIL	FALSE	8787878787	Python	FALSE	Trichy	02-12-2025
STU1040	Dharani S	INVALID_EMAIL	FALSE	7909090909	Data Science	FALSE	UNKNOWN	19-04-2025
STU1042	Padma V	INVALID_EMAIL	FALSE	9121212121	Python	TRUE	Coimbatore	22-03-2025
STU1045	Selvam K	INVALID_EMAIL	FALSE	8343434343	Machine Learning	TRUE	Salem	28-02-2025
STU1049	Suresh B	INVALID_EMAIL	FALSE		Python	FALSE	Madurai	20-04-2025
